,Roots,Analyzability, Consonants, Vowels,Ratio,Syllables,Tone,Stress system,Stress alignment, Rhythm,Fusion,Exponence,Flexivity ,Synthesis,Marking,Word order: SVO,Word order: SV,Word order: SO,Adpositions,Case,Area-Dryer,Area-Nichols,Area-Donohue/Hammarström
ady,"1,320512821","36,9",51,3,17,2,1,1,2,NA,1,1,2,3,3,1,1,1,1,4,3,6,Eurasia
agr,"2,331034483","11,1",10,8,"1,25",2,NA,3,3,NA,2,2,2,2,3,1,1,1,NA,2,5,11,South America
arb,3125,"23,4",20,10,2,2,1,NA,NA,NA,1,1,1,2,1,1,1,1,1,1,5,11,South America
aym,"2,333333333","4,5",26,3,"8,666666667",2,1,1,2,NA,2,2,1,2,3,1,1,1,1,3,5,11,South America
bdg,"2,230769231","7,4",20,10,2,3,1,1,1,1,1,2,2,2,2,1,1,1,1,2,3,4,Eurasia
bez,"1,639175258",7,34,22,"1,545454545454545‬",3,3,NA,NA,NA,2,2,2,2,2,1,NA,1,1,4,3,6,Eurasia
blx,"2,146067416","30,7",13,7,"1,85714285714286",3,NA,NA,NA,NA,1,2,2,3,1,1,1,1,1,NA,4,9,North America
bor,"2,561797753","30,7",17,14,"1,21428571428571",2,2,NA,NA,NA,3,3,3,2,2,1,NA,1,,2,5,11,South America
brk,"1,863636364","16,2",16,6,"2,66666667",NA,NA,NA,NA,NA,2,1,1,2,3,1,1,1,NA,2,2,2,Multinesia
brr,"2,227723","38,7",13,7,"1,85714285714286",1,1,1,2,1,1,1,1,NA,1,1,1,1,1,1,5,11,South America
bry,"2,87826087","19,6",14,7,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,2,Multinesia
bsm,"1,514084507",16,18,5,"3,6",3,1,3,3,NA,3,3,3,2,4,2,1,2,2,1,6,3,Multinesia
bsq,"2,256944444","14,5",22,5,"4,4",3,1,1,1,NA,1,1,2,3,3,1,1,1,1,6,3,6,Eurasia
bun,"2,521126761","3,6",8,5,"1,6",3,1,3,1,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,2,3,Multinesia
car,"2,9","18,1",9,6,"1,5",2,1,2,3,NA,1,1,2,3,4,1,1,1,1,1,5,11,South America
cav,"2,597560976","15,7",20,4,5,1,NA,1,2,1,3,3,3,3,2,7,3,3,1,4,5,11,South America
cay,"2,19047619","19,8",24,8,3,2,NA,NA,NA,NA,1,2,1,2,1,1,1,1,NA,4,5,11,South America
cck,"2,5","40,9",16,3,"5,33333333333",2,1,2,2,2,1,2,2,3,3,1,NA,1,NA,2,4,9,Eurasia
chk,"2,476190476","15,4",13,3,"4,33333333333",3,1,1,1,2,1,2,1,3,3,7,NA,NA,1,4,3,7,North America
chl,"1,675438596","24,8",30,4,"7,5",3,1,NA,NA,NA,1,2,2,3,1,3,NA,2,2,1,4,8,North America
cho,"2,730769231","11,7",27,5,"5,4",3,1,1,2,NA,1,1,2,3,1,2,NA,2,NA,1,4,10,North America
chy,"2,863013699","30,3",12,4,3,2,NA,NA,NA,NA,1,2,1,3,3,2,1,2,1,4,5,11,North America
cin,"1,969387755","12,3",38,6,"6,33333333333",3,NA,3,3,NA,1,1,1,3,1,4,2,2,2,1,4,8,North America
crq,"1,426966292","29,9",40,6,"6,66666666667",3,2,3,3,2,1,1,1,1,1,1,NA,1,1,1,4,8,North America
csh,"1,927083333","10,6",14,4,"3,5",2,2,1,2,NA,3,3,3,2,2,1,1,1,NA,4,5,11,South America
cub,"2,483146067","31,9",10,12,"0,83333333333",1,2,2,3,5,1,2,1,2,2,5,2,1,1,2,5,11,South America
cyn,"2,979865772","30,6",11,6,"1,833333333333333‬",NA,2,NA,NA,NA,1,1,2,3,1,7,NA,NA,NA,1,4,9,North America
emb,"2,43877551","15,3",16,12,"1,333333333333333‬",2,1,1,2,NA,3,3,3,2,2,1,1,1,1,4,5,11,South America
gan,"1,759615385","13,7",27,14,"1,92857142857143",2,1,NA,NA,NA,3,3,3,2,2,1,1,1,1,2,6,4,Multinesia
gua,"2,150943396","23,7",21,12,"1,75",1,1,1,2,NA,2,2,1,3,1,2,1,1,1,2,5,11,South America
hai,"1,554545455","22,7",28,5,"5,6",3,1,2,3,2,3,3,3,2,4,1,1,1,1,1,4,8,North America
hau,"2,439790576","9,2",32,12,"2,66666666666667",2,2,2,3,NA,NA,NA,NA,2,3,2,1,2,2,1,1,1,Africa
hmo,"1,014925373","28,1",56,13,"4,30769230769231",2,3,NA,NA,NA,3,3,3,3,4,2,1,2,2,1,6,4,Eurasia
hpd,"1,289855072","29,2",19,9,"2,11111111111111",2,2,1,2,2,1,1,1,3,4,1,1,1,1,2,5,11,South America
hsm,"1,384615385","33,6",43,5,"8,6",2,2,2,2,1,1,2,2,3,4,NA,NA,NA,2,1,4,10,North America
itz,"1,138297872","20,6",20,11,"1,818181818181818‬",2,1,3,2,1,1,1,1,3,1,4,NA,3,2,1,4,10,North America
jwr,"2,525641026","22,7",11,4,"2,75",1,1,1,2,1,1,1,1,2,1,7,1,1,1,1,5,11,South America
kbw,"1,234567901","20,6",27,9,3,2,3,NA,NA,2,1,1,2,3,1,2,1,2,2,1,6,4,Eurasia
ket,"1,539473684","30,1",12,7,"1,714285714285714‬",3,1,1,1,1,1,2,2,3,3,1,1,1,1,1,3,7,Eurasia
kha,"2,405529954","7,8",20,7,"2,857142857142857‬",2,1,2,3,5,3,3,3,,2,1,1,1,1,2,3,7,Eurasia
kho,"1,410714286","25,2",33,5,"6,6",2,3,1,1,NA,1,1,1,2,3,1,1,1,1,1,1,1,Africa
kio,"1,3","39,4",21,20,"1,05",2,2,3,3,NA,2,1,1,3,3,1,1,1,5,1,4,9,North America
kll,"1,666666667","16,3",12,7,"1,714285714285714‬",2,NA,2,2,NA,NA,NA,NA,NA,2,1,1,1,1,4,2,2,Multinesia
klw,"1,069767442","46,4",19,6,"3,166666666666667‬",2,3,2,2,NA,2,2,1,3,1,1,1,1,5,1,4,8,North America
ktc,"2,541666667","15,9",NA,14,NA,NA,2,NA,NA,NA,2,1,2,NA,4,2,1,1,NA,1,1,1,Africa
kwo,"2,107843137","20,4",19,7,"2,714285714285714‬",2,NA,,,NA,,,,,,1,1,1,1,NA,2,2,Multinesia
laz,"2,376344086","7,5",27,5,"5,4",3,1,NA,NA,NA,1,2,2,3,3,1,1,1,NA,4,3,6,Eurasia
mbm,"1,808988764",31,28,8,"3,5",2,2,3,3,NA,3,3,3,NA,4,2,1,2,2,1,1,1,Africa
mea,"2,25","20,4",13,5,"2,6",3,3,2,3,5,1,1,1,3,1,2,1,2,2,1,2,2,Multinesia
mis,"2,193877551","28,9",13,3,"4,333333333333333‬",2,NA,1,1,NA,1,1,2,3,1,1,1,1,1,1,5,11,North America
mli,"2,759259259","9,4",17,6,"2,83333333333333",3,1,1,2,NA,1,2,1,3,1,2,NA,2,2,1,2,3,Multinesia
nez,"2,12605042","18,9",26,10,"2,6",3,1,2,3,NA,1,2,2,3,3,7,3,3,NA,5,4,8,North America
ngm,"1,5625","23,8",21,14,"1,5",2,3,3,3,NA,2,1,2,2,1,2,1,2,2,1,1,1,Africa
